PAC,Gene,Description,Family,Number of Interactions,Rank of Druggabilty,Druggability Percentile,Rank Druggability for Other Therapeutic Areas,Druggability for Other Therapeutic Areas Percentile,Rank Druggability for Cancer,Druggability for Cancer Percentile,Rank Cancer-Associated,Cancer-Associated Percentile,Is this gene a drug target?,Is this gene a target of other therapeutics?,Is this gene a target of cancer therapeutics?,Is this gene associated with cancer?,Is this gene in the CGC?,Maximum Druggability percentile
P03989,HLA-B,"HLA class I histocompatibility antigen, B-27 alpha chain", MHC class I family.,6,1641,88%,542,96%,8552,36%,9858,26%,0,0,0,0,0,0.96
P04000,OPN1LW,Long-wave-sensitive opsin 1,G-protein coupled receptor 1 family,4,5200,61%,9113,32%,2995,78%,5739,57%,0,0,0,0,0,0.78
P04001,"OPN1MW,OPN1MW2",Medium-wave-sensitive opsin 1,G-protein coupled receptor 1 family,2,3626,73%,5652,58%,7515,44%,9006,33%,0,0,0,0,0,0.73
P04003,C4BPA,"C4b-binding protein alpha chain, C4bp",,9,3928,71%,6779,49%,4289,68%,6241,53%,0,0,0,0,0,0.71
P04004,VTN,Vitronectin,,46,1097,92%,528,96%,1921,86%,1990,85%,0,0,0,0,0,0.96
P04035,HMGCR,"3-hydroxy-3-methylglutaryl-coenzyme A reductase, HMG-CoA reductase", HMG-CoA reductase family.,5,574,96%,719,95%,1670,87%,5133,62%,1,1,0,0,0,0.96
P04040,CAT,Catalase, catalase family.,13,404,97%,263,98%,1856,86%,2886,78%,0,0,0,0,0,0.98
P04049,RAF1,RAF proto-oncogene serine/threonine-protein kinase, protein kinase superfamily. TKL Ser/Thr protein kinase family. RAF subfamily.,134,83,99%,2813,79%,24,100%,44,100%,1,0,1,1,1,1.00
P04053,DNTT,DNA nucleotidylexotransferase,DNA polymerase type-X family,7,2093,84%,8945,33%,8787,34%,5248,61%,0,0,0,0,0,0.84
P04054,PLA2G1B,Phospholipase A2, phospholipase A2 family.,5,2850,79%,3974,70%,4950,63%,8654,35%,0,0,0,0,0,0.79
P04062,GBA,Glucosylceramidase, glycosyl hydrolase 3 family.,3,7908,41%,9146,31%,1341,90%,5552,58%,0,0,0,0,0,0.90
P04066,FUCA1,Tissue alpha-L-fucosidase, glycosyl hydrolase 29 family.,4,8693,35%,13345,0%,7641,43%,7079,47%,0,0,0,0,0,0.43
P04070,PROC,Vitamin K-dependent protein C, peptidase S1 family.,13,141,99%,144,99%,4787,64%,6133,54%,0,0,0,0,0,0.99
P04075,ALDOA,Fructose-bisphosphate aldolase A, class I fructose-bisphosphate aldolase family.,26,3653,73%,5793,57%,3087,77%,2254,83%,0,0,0,0,0,0.77
P04080,CSTB,Cystatin-B, cystatin family.,9,9369,30%,5176,61%,5796,57%,5323,60%,0,0,0,0,0,0.61
P04083,ANXA1,Annexin A1, annexin family.,37,4358,67%,7769,42%,873,93%,565,96%,0,0,0,0,0,0.93
P04085,PDGFA,"Platelet-derived growth factor subunit A, PDGF subunit A", PDGF/VEGF growth factor family.,16,1334,90%,755,94%,3951,70%,3842,71%,0,0,0,0,0,0.94
P04090,RLN2,Prorelaxin H2,insulin family,2,13054,2%,1980,85%,12440,7%,13005,3%,0,0,0,0,0,0.85
P04114,APOB,"Apolipoprotein B-100, Apo B-100",,22,4496,66%,4789,64%,2935,78%,2483,81%,0,0,0,0,0,0.78
P04118,CLPS,Colipase,colipase family,3,1496,89%,622,95%,10632,20%,12436,7%,0,0,0,0,0,0.95
P04141,CSF2,"Granulocyte-macrophage colony-stimulating factor, GM-CSF", GM-CSF family.,8,701,95%,1431,89%,1524,89%,5268,61%,0,0,0,0,0,0.95
P04150,NR3C1,"Glucocorticoid receptor, GR", nuclear hormone receptor family. NR3 subfamily.,145,35,100%,10075,25%,17,100%,11,100%,1,0,1,1,0,1.00
P04155,TFF1,Trefoil factor 1,,10,2797,79%,5859,56%,6820,49%,5012,62%,0,0,0,0,0,0.79
P04156,PRNP,"Major prion protein, PrP", prion family.,82,3651,73%,2481,81%,1197,91%,2426,82%,0,0,0,0,0,0.91
P04179,SOD2,"Superoxide dismutase [Mn], mitochondrial", iron/manganese superoxide dismutase family.,10,6281,53%,9721,27%,4781,64%,5132,62%,0,0,0,0,0,0.64
P04180,LCAT,Phosphatidylcholine-sterol acyltransferase, AB hydrolase superfamily. Lipase family.,4,6087,54%,11861,11%,8432,37%,7298,45%,0,0,0,0,0,0.54
P04181,OAT,"Ornithine aminotransferase, mitochondrial", class-III pyridoxal-phosphate-dependent aminotransferase family.,3,8398,37%,9355,30%,8249,38%,9893,26%,0,0,0,0,0,0.38
P04183,TK1,"Thymidine kinase, cytosolic", thymidine kinase family.,162,13030,2%,4417,67%,621,95%,2158,84%,0,0,0,0,0,0.95
P04196,HRG,Histidine-rich glycoprotein,,13,1402,89%,1966,85%,3422,74%,4224,68%,0,0,0,0,0,0.89
P04198,MYCN,N-myc proto-oncogene protein,,11,5264,61%,7816,41%,4426,67%,1486,89%,0,0,0,1,1,0.67
P04201,MAS1,Proto-oncogene Mas,G-protein coupled receptor 1 family,2,3415,74%,3191,76%,5631,58%,9446,29%,0,0,0,0,0,0.76
P04216,THY1,Thy-1 membrane glycoprotein,,7,553,96%,704,95%,1711,87%,4592,66%,0,0,0,0,0,0.96
P04217,A1BG,Alpha-1B-glycoprotein,,10,6284,53%,8807,34%,6427,52%,4219,68%,0,0,0,0,0,0.53
P04222,HLA-C,"HLA class I histocompatibility antigen, Cw-3 alpha chain",MHC class I family,3,3275,75%,3742,72%,7737,42%,9247,31%,0,0,0,0,0,0.75
P04229,HLA-DRB1,"HLA class II histocompatibility antigen, DRB1-1 beta chain", MHC class II family.,9,1267,91%,1763,87%,198,99%,2857,79%,1,0,1,1,0,0.99
P04233,CD74,HLA class II histocompatibility antigen gamma chain,,19,7656,43%,5133,62%,2525,81%,624,95%,0,0,0,1,1,0.81
P04234,CD3D,T-cell surface glycoprotein CD3 delta chain,,9,1459,89%,3609,73%,163,99%,3448,74%,1,0,1,1,0,0.99
P04259,KRT6B,"Keratin, type II cytoskeletal 6B", intermediate filament family.,11,11424,14%,9792,27%,7024,47%,5475,59%,0,0,0,0,0,0.47
P04264,KRT1,"Keratin, type II cytoskeletal 1", intermediate filament family.,16,1417,89%,1972,85%,3116,77%,3493,74%,0,0,0,0,0,0.89
P04271,S100B,Protein S100-B, S-11 family.,28,760,94%,1474,89%,1478,89%,1435,89%,0,0,0,0,0,0.94
P04275,VWF,"von Willebrand factor, vWF",,18,916,93%,708,95%,2689,80%,3645,73%,0,0,0,0,0,0.95
P04278,SHBG,"Sex hormone-binding globulin, SHBG",,62,2598,81%,4485,66%,2985,78%,1794,87%,0,0,0,0,0,0.81
P04279,SEMG1,Semenogelin-1, semenogelin family.,7,1421,89%,726,95%,2998,78%,4982,63%,0,0,0,0,0,0.95
P04280,PRB1,Basic salivary proline-rich protein 1,,2,8367,37%,10191,24%,11194,16%,10067,25%,0,0,0,0,0,0.37
P04350,TUBB4A,Tubulin beta-4A chain, tubulin family.,27,5953,55%,5460,59%,1763,87%,1987,85%,0,0,0,0,0,0.87
P04406,GAPDH,"Glyceraldehyde-3-phosphate dehydrogenase, GAPDH", glyceraldehyde-3-phosphate dehydrogenase family.,97,7819,41%,9593,28%,718,95%,1418,89%,0,0,0,0,0,0.95
P04424,ASL,"Argininosuccinate lyase, ASAL", lyase 1 family. Argininosuccinate lyase subfamily.,6,6276,53%,8448,37%,4940,63%,6624,50%,0,0,0,0,0,0.63
P04439,HLA-A,"HLA class I histocompatibility antigen, A-3 alpha chain", MHC class I family.,23,357,97%,560,96%,884,93%,377,97%,0,0,0,1,1,0.97
P04440,HLA-DPB1,"HLA class II histocompatibility antigen, DP beta 1 chain", MHC class II family.,7,3257,76%,1432,89%,4960,63%,3928,71%,0,0,0,0,0,0.89
P04553,PRM1,Sperm protamine P1,protamine P1 family,2,12065,10%,12006,10%,11541,14%,9014,32%,0,0,0,0,0,0.14
P04554,PRM2,Protamine-2,protamine P2 family,2,11649,13%,11824,11%,12112,9%,10930,18%,0,0,0,0,0,0.13
P04626,ERBB2,Receptor tyrosine-protein kinase erbB-2, protein kinase superfamily. Tyr protein kinase family. EGF receptor subfamily.,135,8,100%,599,96%,8,100%,14,100%,1,0,1,1,1,1.00
P04628,WNT1,Proto-oncogene Wnt-1,Wnt family,17,12225,8%,8316,38%,9216,31%,4242,68%,0,0,0,0,0,0.38
P04629,NTRK1,High affinity nerve growth factor receptor, protein kinase superfamily. Tyr protein kinase family. Insulin receptor subfamily.,44,187,99%,567,96%,155,99%,131,99%,0,0,0,1,1,0.99
P04632,CAPNS1,"Calpain small subunit 1, CSS1",,19,8054,40%,9828,26%,2937,78%,3658,73%,0,0,0,0,0,0.78
P04637,TP53,Cellular tumor antigen p53, p53 family.,437,1072,92%,2619,80%,60,100%,9,100%,0,0,0,1,1,1.00
P04731,MT1A,"Metallothionein-1A, MT-1A", metallothionein superfamily. Type 1 family.,2,835,94%,1636,88%,6876,48%,6462,52%,0,0,0,0,0,0.94
P04733,MT1F,Metallothionein-1F,Type 1 family,2,4596,66%,3125,77%,8621,35%,10452,22%,0,0,0,0,0,0.77
P04745,AMY1A,Alpha-amylase 1, glycosyl hydrolase 13 family.,7,5279,60%,3012,77%,8745,34%,9302,30%,0,0,0,0,0,0.77
P04746,AMY2A,"Pancreatic alpha-amylase, PA", glycosyl hydrolase 13 family.,3,247,98%,54,100%,5396,60%,8759,34%,1,1,0,0,0,1.00
P04792,HSPB1,"Heat shock protein beta-1, HspB1", small heat shock protein (HSP2) family.,53,2016,85%,6547,51%,797,94%,764,94%,0,0,0,0,0,0.94
P04798,CYP1A1,Cytochrome P450 1A1,cytochrome P450 family,2,11151,16%,12915,3%,11139,17%,12905,3%,0,0,0,0,0,0.17
P04808,RLN1,Prorelaxin H1,insulin family,1,13062,2%,3828,71%,11753,12%,12870,4%,0,0,0,0,0,0.71
P04818,TYMS,"Thymidylate synthase, TS, TSase", thymidylate synthase family.,4,2464,82%,6670,50%,867,94%,2961,78%,1,0,1,1,0,0.94
P04839,CYBB,Cytochrome b-245 heavy chain,,7,2167,84%,2106,84%,4507,66%,6040,55%,0,0,0,0,0,0.84
P04843,RPN1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1, OST1 family.,16,4812,64%,4214,68%,2942,78%,2077,84%,0,0,0,1,1,0.78
P04844,RPN2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2, SWP1 family.,8,8165,39%,11636,13%,7348,45%,5521,59%,0,0,0,0,0,0.45
P04899,GNAI2,Guanine nucleotide-binding protein G(i) subunit alpha-2, G-alpha family. G(i/o/t/z) subfamily.,67,538,96%,118,99%,1305,90%,711,95%,0,0,0,0,0,0.99
P04908,HIST1H2AB,Histone H2A type 1-B/E, histone H2A family.,16,7283,45%,8466,37%,2563,81%,1730,87%,0,0,0,0,0,0.81
P04920,SLC4A2,Anion exchange protein 2,anion exchanger (TC 2.A.31) family,3,2593,81%,8770,34%,9050,32%,10521,21%,0,0,0,0,0,0.81
P04921,GYPC,Glycophorin-C, glycophorin-C family.,3,5563,58%,9028,32%,5992,55%,8239,38%,0,0,0,0,0,0.58
P05000,IFNW1,Interferon omega-1,alpha/beta interferon family,3,862,94%,5532,59%,153,99%,4312,68%,0,0,0,0,0,0.99
P05014,IFNA4,Interferon alpha-4,alpha/beta interferon family,1,5688,57%,3168,76%,9927,26%,12389,7%,0,0,0,0,0,0.76
P05015,IFNA16,"Interferon alpha-16, IFN-alpha-16", alpha/beta interferon family.,2,6917,48%,13069,2%,1194,91%,8412,37%,0,0,0,0,0,0.91
P05019,IGF1,"Insulin-like growth factor I, IGF-I", insulin family.,16,1412,89%,938,93%,3050,77%,4303,68%,0,0,0,0,0,0.93
P05023,ATP1A1,"Sodium/potassium-transporting ATPase subunit alpha-1, Na(+)/K(+) ATPase alpha-1 subunit", cation transport ATPase (P-type) (TC 3.A.3) family. Type IIC subfamily.,15,312,98%,213,98%,1637,88%,740,94%,1,1,0,1,1,0.98
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1, X(+)/potassium ATPases subunit beta family.,18,5642,58%,8296,38%,2552,81%,2539,81%,0,0,0,0,0,0.81
P05060,CHGB,Secretogranin-1, chromogranin/secretogranin protein family.,33,8713,35%,10325,23%,5348,60%,3123,77%,0,0,0,0,0,0.60
P05062,ALDOB,Fructose-bisphosphate aldolase B, class I fructose-bisphosphate aldolase family.,12,9086,32%,9084,32%,5225,61%,5499,59%,0,0,0,0,0,0.61
P05067,APP,Amyloid beta A4 protein, APP family.,2008,13345,0%,72,99%,13345,0%,13345,0%,0,0,0,0,0,0.99
P05089,ARG1,Arginase-1, arginase family.,5,3081,77%,5237,61%,5751,57%,7826,41%,0,0,0,0,0,0.77
P05090,APOD,"Apolipoprotein D, Apo-D, ApoD", calycin superfamily. Lipocalin family.,7,11155,16%,9766,27%,9619,28%,9696,27%,0,0,0,0,0,0.28
P05091,ALDH2,"Aldehyde dehydrogenase, mitochondrial", aldehyde dehydrogenase family.,12,4518,66%,9044,32%,4616,65%,4251,68%,1,1,0,1,1,0.66
P05093,CYP17A1,"Steroid 17-alpha-hydroxylase/17,20 lyase", cytochrome P45 family.,9,2213,83%,8178,39%,6813,49%,5936,56%,1,0,1,1,0,0.83
P05106,ITGB3,Integrin beta-3, integrin beta chain family.,47,66,100%,82,99%,487,96%,483,96%,1,1,0,0,0,1.00
P05107,ITGB2,Integrin beta-2, integrin beta chain family.,43,374,97%,518,96%,401,97%,996,93%,0,0,0,0,0,0.97
P05108,CYP11A1,"Cholesterol side-chain cleavage enzyme, mitochondrial", cytochrome P45 family.,5,2574,81%,8777,34%,109,99%,375,97%,1,0,1,1,0,0.99
P05109,S100A8,Protein S100-A8, S-1 family.,25,5216,61%,4492,66%,2249,83%,2755,79%,0,0,0,0,0,0.83
P05111,INHA,Inhibin alpha chain,TGF-beta family,5,9699,27%,7559,43%,10929,18%,10275,23%,0,0,0,0,0,0.43
P05112,IL4,"Interleukin-4, IL-4", IL-4/IL-13 family.,8,1070,92%,1903,86%,3805,71%,6517,51%,0,0,0,0,0,0.92
P05113,IL5,"Interleukin-5, IL-5", IL-5 family.,1,2296,83%,3264,76%,5253,61%,11077,17%,0,0,0,0,0,0.83
P05114,HMGN1,Non-histone chromosomal protein HMG-14, HMGN family.,18,2690,80%,7096,47%,1639,88%,597,96%,0,0,0,0,0,0.88
P05120,SERPINB2,Plasminogen activator inhibitor 2,serpin family,6,3959,70%,9377,30%,3030,77%,5661,58%,0,0,0,0,0,0.77
P05121,SERPINE1,"Plasminogen activator inhibitor 1, PAI, PAI-1", serpin family.,19,954,93%,1001,92%,2653,80%,3660,73%,0,0,0,0,0,0.93
P05129,PRKCG,"Protein kinase C gamma type, PKC-gamma", protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily.,63,2335,83%,3943,70%,842,94%,2152,84%,0,0,0,0,0,0.94
P05141,SLC25A5,ADP/ATP translocase 2, mitochondrial carrier family.,5,8202,39%,5473,59%,8476,36%,7875,41%,0,0,0,0,0,0.59
P05154,SERPINA5,Plasma serine protease inhibitor, serpin family.,20,724,95%,1275,90%,2844,79%,3998,70%,0,0,0,0,0,0.95
P05155,SERPING1,"Plasma protease C1 inhibitor, C1 Inh, C1Inh", serpin family.,13,1754,87%,1893,86%,3262,76%,4710,65%,0,0,0,0,0,0.87
P05156,CFI,Complement factor I,peptidase S1 family,6,6931,48%,745,94%,9724,27%,11313,15%,0,0,0,0,0,0.94
P05160,F13B,Coagulation factor XIII B chain,,2,3498,74%,3875,71%,6775,49%,10897,18%,0,0,0,0,0,0.74
P05161,ISG15,Ubiquitin-like protein ISG15,,8,5746,57%,5408,59%,5608,58%,4542,66%,0,0,0,0,0,0.59
P05162,LGALS2,"Galectin-2, Gal-2",,6,1410,89%,10466,22%,103,99%,3840,71%,0,0,0,0,0,0.99
P05164,MPO,Myeloperoxidase,peroxidase family,1,5839,56%,5641,58%,8881,33%,12289,8%,0,0,0,0,0,0.58
P05165,PCCA,"Propionyl-CoA carboxylase alpha chain, mitochondrial, PCCase subunit alpha",,2,7746,42%,9169,31%,12900,3%,12535,6%,0,0,0,0,0,0.42
P05166,PCCB,"Propionyl-CoA carboxylase beta chain, mitochondrial, PCCase subunit beta", AccD/PCCB family.,1,5448,59%,5399,60%,3249,76%,11936,11%,0,0,0,0,0,0.76
P05177,CYP1A2,Cytochrome P450 1A2,cytochrome P450 family,2,11114,17%,4308,68%,11506,14%,12784,4%,0,0,0,0,0,0.68
P05181,CYP2E1,Cytochrome P450 2E1, cytochrome P45 family.,15,8561,36%,4714,65%,7539,44%,6356,52%,0,0,0,0,0,0.65
P05186,ALPL,"Alkaline phosphatase, tissue-nonspecific isozyme, AP-TNAP, TNSALP", alkaline phosphatase family.,3,9276,30%,8266,38%,9553,28%,7834,41%,0,0,0,0,0,0.38
P05187,ALPP,"Alkaline phosphatase, placental type", alkaline phosphatase family.,7,7728,42%,8764,34%,4610,65%,6503,51%,0,0,0,0,0,0.65
P05198,EIF2S1,Eukaryotic translation initiation factor 2 subunit 1, eIF-2-alpha family.,25,484,96%,291,98%,1223,91%,1584,88%,0,0,0,0,0,0.98
P05204,HMGN2,Non-histone chromosomal protein HMG-17, HMGN family.,12,2821,79%,6806,49%,1585,88%,737,94%,0,0,0,0,0,0.88
P05230,FGF1,"Fibroblast growth factor 1, FGF-1", heparin-binding growth factors family.,15,2060,85%,4367,67%,2281,83%,2948,78%,0,0,0,0,0,0.85
P05231,IL6,"Interleukin-6, IL-6", IL-6 superfamily.,5,823,94%,1973,85%,2104,84%,6024,55%,1,0,0,0,0,0.94
P05305,EDN1,Endothelin-1, endothelin/sarafotoxin family.,12,2266,83%,3816,71%,3312,75%,4720,65%,0,0,0,0,0,0.83
P05362,ICAM1,"Intercellular adhesion molecule 1, ICAM-1", immunoglobulin superfamily. ICAM family.,13,420,97%,839,94%,764,94%,2078,84%,0,0,0,0,0,0.97
P05386,RPLP1,60S acidic ribosomal protein P1, ribosomal protein L12P family.,34,4304,68%,4746,64%,3260,76%,2748,79%,0,0,0,0,0,0.76
P05387,RPLP2,60S acidic ribosomal protein P2, ribosomal protein L12P family.,4,1183,91%,1867,86%,3248,76%,5365,60%,0,0,0,0,0,0.91
P05388,RPLP0,60S acidic ribosomal protein P0, ribosomal protein L1P family.,12,6767,49%,10234,23%,4668,65%,3543,73%,0,0,0,0,0,0.65
P05408,SCG5,Neuroendocrine protein 7B2, 7B2 family.,5,6633,50%,4888,63%,9608,28%,6921,48%,0,0,0,0,0,0.63
P05412,JUN,Transcription factor AP-1, bZIP family. Jun subfamily.,195,250,98%,1299,90%,128,99%,7,100%,0,0,0,1,1,0.99
P05413,FABP3,"Fatty acid-binding protein, heart", calycin superfamily. Fatty-acid binding protein (FABP) family.,5,9625,28%,11712,12%,9768,27%,8192,39%,0,0,0,0,0,0.28
P05423,POLR3D,"DNA-directed RNA polymerase III subunit RPC4, RNA polymerase III subunit C4", eukaryotic RPC4/POLR3D RNA polymerase subunit family.,13,6016,55%,10078,24%,5645,58%,2491,81%,0,0,0,0,0,0.58
P05451,REG1A,Lithostathine-1-alpha,,2,8731,35%,5485,59%,9807,27%,9769,27%,0,0,0,0,0,0.59
P05452,CLEC3B,"Tetranectin, TN",,14,5516,59%,4030,70%,3232,76%,3854,71%,0,0,0,0,0,0.76
P05455,SSB,Lupus La protein,,14,5096,62%,6205,54%,1354,90%,2735,80%,0,0,0,0,0,0.90
P05496,ATP5G1,"ATP synthase F(0) complex subunit C1, mitochondrial",ATPase C chain family,1,12331,8%,11564,13%,12479,6%,12112,9%,0,0,0,0,0,0.13
P05534,HLA-A,"HLA class I histocompatibility antigen, A-24 alpha chain",MHC class I family,3,3678,72%,3850,71%,1562,88%,7937,41%,0,0,0,0,0,0.88
P05543,SERPINA7,Thyroxine-binding globulin,serpin family,1,8384,37%,8887,33%,11058,17%,10193,24%,0,0,0,0,0,0.37
P05546,SERPIND1,Heparin cofactor 2,serpin family,4,444,97%,202,98%,2206,83%,8923,33%,0,0,0,0,0,0.98
P05549,TFAP2A,"Transcription factor AP-2-alpha, AP2-alpha", AP-2 family.,34,3743,72%,5955,55%,734,94%,335,97%,0,0,0,0,0,0.94
P05556,ITGB1,Integrin beta-1, integrin beta chain family.,76,689,95%,338,97%,1552,88%,1528,89%,0,0,0,0,0,0.97
P05771,PRKCB,"Protein kinase C beta type, PKC-B, PKC-beta", protein kinase superfamily. AGC Ser/Thr protein kinase family. PKC subfamily.,112,663,95%,1434,89%,287,98%,461,97%,0,0,0,0,0,0.98
P05783,KRT18,"Keratin, type I cytoskeletal 18", intermediate filament family.,80,800,94%,779,94%,367,97%,627,95%,0,0,0,0,0,0.97
P05787,KRT8,"Keratin, type II cytoskeletal 8", intermediate filament family.,46,2371,82%,7039,47%,565,96%,556,96%,0,0,0,0,0,0.96
P05813,CRYBA1,Beta-crystallin A3, beta/gamma-crystallin family.,7,11963,10%,9380,30%,7355,45%,6572,51%,0,0,0,0,0,0.45
P05814,CSN2,Beta-casein, beta-casein family.,18,4971,63%,7449,44%,2381,82%,2038,85%,0,0,0,0,0,0.82
P05937,CALB1,Calbindin, calbindin family.,7,6732,50%,7668,43%,6476,51%,5636,58%,0,0,0,0,0,0.51
P05976,MYL1,"Myosin light chain 1/3, skeletal muscle isoform",,5,4078,69%,2416,82%,5247,61%,6834,49%,0,0,0,0,0,0.82
P05981,HPN,Serine protease hepsin,peptidase S1 family,3,853,94%,283,98%,11531,14%,12464,7%,0,0,0,0,0,0.98
P05997,COL5A2,Collagen alpha-2(V) chain,fibrillar collagen family,2,4938,63%,4066,70%,11156,16%,10557,21%,0,0,0,0,0,0.70
P06028,GYPB,Glycophorin-B,glycophorin-A family,2,3080,77%,579,96%,8550,36%,10379,22%,0,0,0,0,0,0.96
P06126,CD1A,T-cell surface glycoprotein CD1a,,4,2902,78%,2828,79%,7617,43%,10586,21%,0,0,0,0,0,0.79
P06127,CD5,T-cell surface glycoprotein CD5,,22,480,96%,1824,86%,414,97%,699,95%,0,0,0,0,0,0.97
P06132,UROD,"Uroporphyrinogen decarboxylase, UPD, URO-D", uroporphyrinogen decarboxylase family.,7,4526,66%,8748,34%,4303,68%,3856,71%,0,0,0,0,0,0.68
P06133,UGT2B4,"UDP-glucuronosyltransferase 2B4, UDPGT 2B4", UDP-glycosyltransferase family.,1,4257,68%,3399,75%,6937,48%,10765,19%,0,0,0,0,0,0.75
P06213,INSR,"Insulin receptor, IR", protein kinase superfamily. Tyr protein kinase family. Insulin receptor subfamily.,85,10,100%,95,99%,121,99%,191,99%,1,1,0,0,0,1.00
P06239,LCK,Tyrosine-protein kinase Lck, protein kinase superfamily. Tyr protein kinase family. SRC subfamily.,158,1,100%,549,96%,4,100%,12,100%,1,0,1,1,1,1.00
P06241,FYN,Tyrosine-protein kinase Fyn, protein kinase superfamily. Tyr protein kinase family. SRC subfamily.,212,17,100%,1646,88%,13,100%,31,100%,1,0,1,1,0,1.00
P06276,BCHE,Cholinesterase,type-B carboxylesterase/lipase family,1,128,99%,64,100%,3366,75%,10969,18%,1,1,0,0,0,1.00
P06280,GLA,Alpha-galactosidase A,glycosyl hydrolase 27 family,1,668,95%,360,97%,4805,64%,10073,25%,0,0,0,0,0,0.97
P06307,CCK,Cholecystokinin,gastrin/cholecystokinin family,6,2250,83%,1290,90%,8398,37%,10281,23%,0,0,0,0,0,0.90
P06340,HLA-DOA,"HLA class II histocompatibility antigen, DO alpha chain",MHC class II family,4,3330,75%,3384,75%,9922,26%,10029,25%,0,0,0,0,0,0.75
P06396,GSN,Gelsolin, villin/gelsolin family.,24,1835,86%,3954,70%,1387,90%,1778,87%,0,0,0,0,0,0.90
P06400,RB1,Retinoblastoma-associated protein, retinoblastoma protein (RB) family.,181,387,97%,6095,54%,192,99%,25,100%,0,0,0,1,1,0.99
P06401,PGR,"Progesterone receptor, PR", nuclear hormone receptor family. NR3 subfamily.,53,111,99%,4000,70%,58,100%,77,99%,1,0,1,1,0,1.00
P06454,PTMA,Prothymosin alpha, pro/parathymosin family.,38,3250,76%,4921,63%,589,96%,364,97%,0,0,0,0,0,0.96
P06493,CDK1,"Cyclin-dependent kinase 1, CDK1", protein kinase superfamily. CMGC Ser/Thr protein kinase family. CDC2/CDKX subfamily.,318,12876,4%,353,97%,607,95%,1031,92%,0,0,0,0,0,0.97
P06576,ATP5B,"ATP synthase subunit beta, mitochondrial", ATPase alpha/beta chains family.,21,6420,52%,5912,56%,3903,71%,2885,78%,0,0,0,0,0,0.71
P06681,C2,Complement C2,peptidase S1 family,8,6274,53%,937,93%,8598,36%,7917,41%,0,0,0,0,0,0.93
P06702,S100A9,Protein S100-A9, S-1 family.,11,941,93%,1815,86%,2301,83%,2450,82%,0,0,0,0,0,0.93
P06703,S100A6,Protein S100-A6, S-1 family.,12,814,94%,1324,90%,1227,91%,2224,83%,0,0,0,0,0,0.94
P06727,APOA4,Apolipoprotein A-IV,apolipoprotein A1/A4/E family,1,2164,84%,1851,86%,5916,56%,10737,20%,0,0,0,0,0,0.86
P06729,CD2,T-cell surface antigen CD2,,20,193,99%,1146,91%,85,99%,573,96%,1,0,1,1,0,0.99
P06730,EIF4E,"Eukaryotic translation initiation factor 4E, eIF-4E, eIF4E", eukaryotic initiation factor 4E family.,26,6128,54%,9860,26%,3367,75%,2772,79%,0,0,0,0,0,0.75
P06731,CEACAM5,Carcinoembryonic antigen-related cell adhesion molecule 5, immunoglobulin superfamily. CEA family.,6,3655,73%,4650,65%,9537,29%,7955,40%,0,0,0,0,0,0.73
P06732,CKM,Creatine kinase M-type,ATP:guanido phosphotransferase family,9,3961,70%,5941,55%,3953,70%,3932,71%,0,0,0,0,0,0.70
P06733,ENO1,Alpha-enolase, enolase family.,22,1153,91%,764,94%,915,93%,897,93%,0,0,0,0,0,0.94
P06734,FCER2,Low affinity immunoglobulin epsilon Fc receptor,,6,6848,49%,2399,82%,6318,53%,7531,44%,0,0,0,0,0,0.82
P06737,PYGL,"Glycogen phosphorylase, liver form", glycogen phosphorylase family.,4,3664,73%,6354,52%,7675,42%,9110,32%,0,0,0,0,0,0.73
P06744,GPI,Glucose-6-phosphate isomerase,GPI family,5,3717,72%,8400,37%,3300,75%,4149,69%,0,0,0,0,0,0.75
P06746,POLB,DNA polymerase beta, DNA polymerase type-X family.,18,6046,55%,7124,47%,3296,75%,951,93%,0,0,0,0,0,0.75
P06748,NPM1,"Nucleophosmin, NPM", nucleoplasmin family.,66,797,94%,1405,89%,241,98%,68,99%,0,0,0,1,1,0.98
P06753,TPM3,Tropomyosin alpha-3 chain, tropomyosin family.,42,7521,44%,4246,68%,3419,74%,2712,80%,0,0,0,1,1,0.74
P06756,ITGAV,Integrin alpha-V, integrin alpha chain family.,29,1678,87%,927,93%,3839,71%,3373,75%,0,0,0,0,0,0.93
P06850,CRH,Corticoliberin, sauvagine/corticotropin-releasing factor/urotensin I family.,3,9309,30%,6527,51%,6846,49%,10206,24%,0,0,0,0,0,0.51
P06858,LPL,"Lipoprotein lipase, LPL", AB hydrolase superfamily. Lipase family.,18,500,96%,377,97%,2021,85%,3904,71%,1,1,0,0,0,0.97
P06865,HEXA,Beta-hexosaminidase subunit alpha, glycosyl hydrolase 2 family.,4,5943,55%,7684,42%,9711,27%,10177,24%,0,0,0,0,0,0.55
P06870,KLK1,Kallikrein-1,peptidase S1 family,4,2699,80%,2955,78%,5251,61%,9214,31%,0,0,0,0,0,0.80
P06881,CALCA,Calcitonin gene-related peptide 1, calcitonin family.,7,8389,37%,3037,77%,8178,39%,11231,16%,0,0,0,0,0,0.77
